cleaned_text,label
that boy has always been a pussy never been a threat,0
your girls pussy smells like sour cream and onions,0
how are yankees games on the radio good announcers,0
rt niggas be mentally dating females they never met before you on instagram double tapn that ho too much mane,0
and girl that pussy aint shit to me baby girl roll up and get high,0
rt fighting over a hoe is one of the lamest things you can do,0
friends dont let friends become guidos themoreyouknow,0
rt yall some bitches,0
cheers young lady rt foreverrrr younnnnng grabs flask and chugs,0
you bitches make me sick,0
you were supposed to hang w me this week nigger,0
i mean we have other pics of me idk why you chose that one cough bitch cough,0
why are there so many hoes,0
rt faves rt i aint tryna see nigger legs in a bikini,0
rt insecurities are such a bitch,0
and i cant be known for fucking wit a trash bitch,0
give them bitches good head i can assure you they will be back,0
rt i envy bitches with long full eyelashes,0
thisty hoe,0
rt welcome to dallas nawfside texas dont come with no hoe shit nigga this texas you will get murdered,0
its fact that a male brain cannot always hear the high pitched voice of a women so bitch dont get madi really didnt hear you,0
hey bitch if your gonna talk shit tag me and quit being such a bitch how did i fuck up the car cause it wont hold air dumbass,0
phil hughes looking like the phil hughes of old yankees mlb,0
she can just fuckin call the venue about it and theyll cancel the lost tickets and reprint new ones what a dumb bitch,0
every time this bitch makes a status about guys she texts me like whatttt loll,0
but no joke i will say no it is not an oleander and wife will say son of a bitch ron yes the hell it is get out your book,0
rt hoe,0
hoosier fans is cody zeller nominating for this years nba draft iubb,0
homo ass crackers,1
michael sam being cut further proves that we fags dont belong in football or nfl it is a heterosexual sport for heterosexuals,1
produced by yung bouta drop dis hoe,0
niggasbitches cheat cause mfs always think they gettin played,1
rt fixitjesus this bitch is the nugget filling at mcdonalds,0
whats a trash party,0
rt ill break a bitch down like the pussy she is,1
dont ask me if im in my feelings cause i aint no bitch i dont got those tf im sad not in no fucking feelings,0
how about darkskin dykes,0
quit talking shit you fucking faggot youre seriously just mad bc no one wants you who the fuck do you even think you are,0
can we not use the word faggots,0
ugly white bitch,0
that bitch amanda ran away from me,0
oh yeah fuck that bitch,0
im dreaming e you must be fucked up,0
elza m jones was whipppppppen and drifting last night lol we was tu this ma niggah,0
if ive never seen her do some hoe shit with my own eyes then i refuse to let another nigga influence my thoughts on her so what,0
how now gungho,0
they do why else do teachers constantly bitch about pay,0
suck my dick tacos el negro better,1
we got a win my nicca lmao,0
i try to pass him up get in carpool passing him hes just looking at me like im playing a game do i waved hi idgaf dont fuck w me bitch,0
you ever see bitches comment on a vine like oh my god thats me knowin damn well she would neva do some shit like that lmfaaoo,0
rt victory yankees outlast as in innings eduardo nunez the hero and oh yeah first place still resides in the bronx,0
rt of course the day i nip out with shit hair amp wearing my scruffybut favourite stolen hoodie is the best time to bump into,0
happycolumbusday hate to sound all peta callous and allbut buffalo had it a lot worse than the injuns,0
lmao soft ass nigga trying to act all tough you a little bitch sit down and watch from the sidelines pussy,1
bitches rather be petty with his hoes instead of posting bail now that ah really fck em uppsa,0
smh u niggers amp ur music knowledge,1
alex smith such a got damn bitch man,0
a nicca aint do shit all day,0
between the constant tweegrams and the bad bitches playing themselves out for attention and the stupid caption pics instagram lost me,0
i need some clams on the half shell down here all you can get is deep fried clam necks,0
colts nationput yall money upbitch chuassup we was just down,0
rt shut up bitch everyones perfect the way they are,0
that was trash im just gonna put my phone down goodnight,0
rt if a hoe is talking to your man shes not the problem he is the fact that hoes feel welcomed reflects on how he acts behi,0
faggot is a public spectacle most gays are not fags public display gets public opinion,0
this kid straight watched a bitch eat her own bloody tampon fucksamattawithyou,0
when the pussy stank,0
catch up with the lingo itty bitty bitch,0
hahahaha move bitch get out the wayyyeee,0
rt this kid definitely got the pussy after that game,0
rt a girl tweeted you might be ghetto if u bring food from outside into the movies no u might be stupid if u pay,0
rt i aint got no problem chicks goin on vacay to the states to be hoes just declare ya aids at the border when ya come back,0
moderator wants to bitch slap romney so hard,0
rt let my shirt go bitch its aeropostale wtf is wrong with you,0
dumb ass hoe,0
faggot,0
cute teen gets her pussy flooded withcum,0
im drunk im bout to bitchneed a ride,0
rt poly ratchets cant stand poly bitches in general they loud annoying and they talk too much,0
rt when ya side hoe tryna act up,0
yassss bitch,0
rt my ex told me once she wanted me to get her a gift that would take her breath away so i got that bitch a treadmill,0
i dont love these bitches or these hoes fuck they thought i love my money,0
and ha bitch break down my weed sometimes,0
i dont have a wife she my bitch for the night if she was catching bodies then it might be alright,0
species of birds reported in chesterfield for the great backyard bird count how many in your area,0
a beam of light descended from the heavens a loud voice said fuck her right in the pussy many lives were changed that day,0
rt yall virgo bitches gotta chill thinking yall beyonc,0
i wish hoes didnt bore mei wouldnt have this problem and would shop at hoes r us every day,0
bitch slap that assholewith a chair,0
my favorite time of da day happy hour drinkbreakwhen the bad bitches come out and the ok hoes at home doing makeup,0
rt oreo drumstick,0
rt move dat muscle hoe tell me watchu mad foe,0
rt boobs boobs boobs boobs lotta boobs man i make the baddest bitches send me nudes,0
can these birds shut the fuck up,0
cay got her whole lit new clicc from her school amp be on that bitch shit too me like okay but anyways we still dem girlz,0
sweet and innocent schoolgirl minami asakas pussyeaten,0
rt giants pitiful jetspitiful mets pitiful yankeespitiful nets pitiful knickspitiful ny sports pitiful,0
rt down ass bitch rt aaron hernandezs girlfriend lied to grand jury times,0
im no pussy but ur still a dick,0
rt you have a girlfriend stop asking these hoes to be your bestfriend,0
she say her pussy hairy i wana see,0
this fat bitch turnt for some ice cream not gon lie i would be too,0
rt i fought little bitch ass yr olds over a month ago for those,0
rt if the pussy not fartin u not fuccin right cuh,0
like literally after im done texting someone when i dont text back i slide the bitch to the left id win that money,0
damn i think your redskins lost,0
rt well theres crazy bitch and theres you can look for that motherfuckers corpse but you wont find,0
he must think you bump pussy i no mind ill eat your thong and make you squirt like the geyser,0
rt hate shit like this bitch cant make a decent meal but can take a hell of a thirst trap,0
rt lying ass bitch,0
rt bae come over me im tryna catch a pokemon bae im horny tho me bitch its a fucking mewtwo,0
rt ppl from the uk go dumb hard when they curse they be like you shitting cunt i be like dam cunts cant shit,0
women cant do something called live lifeapparently thats being a hoe,0
you are a hoe hoe amp a hoe,0
rt bitch at macdonalds sayu look a lil devilish day homeyoh well bitchi woke up like thisi woke up like thisbey,0
like i said drose needs to stop being a pussy lol,0
hey rachel g my name isint kenneth ok lets just get that straight you best be backing off before i go ghetto,0
maybe im the one maybe im the two maybe im the nigguh that you call when youre through,0
shutup thirsty hoe,0
rt a dick has a sad life his hair is a mess his family is nuts his neighbors an asshole his best friends a pussy,0
rt yung berg trying to fuck all these hoes,0
bitches hold they nigga down when he get locked up but if a nigga go to college or the military its a different story,0
thatd been a ghetto little meal,0
hes a cheating wetback,0
rt hun wrong social networking site rt lms for a good morning post and something extra maybe,0
rt all it takes is one bitch ass monkey or human to fuck up every bodies peace and serenity,0
lol you can only get in at eden when youre all the bitches there are fat,0
all the hoes know who i rock wit,0
i coulda sworn i was the last bitch on tunchi ig,0
you must be part of the cat family cuz youre a fucking pussy,0
niggas talk more then bitches these days facts,0
ha yous a lonely hoe,0
some black people live in an entirely different world where everything is peaches and cream apparently take off the rose colored glasses,0
rt one time me and this blind bitch was watching a movie,0
rt aye stfu you dyke lookin bitch im pretty sure you have a bigger dick than your boyfriend,0
browns and redskins shouldnt be considered nfl teams,0
oh damn dis bitch found out her baby dead and now shes gonna torture the murderer lmao how fun,0
boy u look like big bird off of sesame street,0
rt nick young says that close to worth of money watches sneakers and clothes were stolen from his house last nig,0
no pillz jus weed kill dat pussy all night damn right show u right,0
youre a little bitch x,0
every bitch was born to break a man,0
aint no hoe worth loosing your wife aint no beef worth loosing your life,0
bitch answer me lol,0
holders justice department isnt interested in the facts in ferguson these race hustling bitches are disgraceful,1
denzy tryna hoe broski izzy,0
hey im still on lambdamoo and it really is empty nobody to talk to except that asshole bird,0
i cant sleep so ima watch spongebob and eat crackers and peanut butter,0
dropped a stack cause bitch im on song called dope download the mixtape here,0
remember when black girls out numbers in front of shit im hungry you stupid hoe,0
ahmeds moms bomb pussygtgtgt,0
yes im white washed because i dont go around repping my hood and saying a bunch of ignorant nig terms,1
rt making today my bitch,0
rt seton catholic where their own students talk trash about how low of a division there football team is in,0
rt when you aint had pussy in a hot minute omm,0
rt yankee doodle had a farm cotton farm,0
rt share your feelings but if iss some hoe shit keep it to yourself,0
rt dear god make me a bird so i can fly far far far away,0
swag fags who gags lml nd yall niggaz wanna ce swagged up foh im gxxd ill stay gd up,0
ahhh karmas a bitch,0
rt tommy voeckler keeps the yellow andy schleck does the break of the tour and contador is broken incredible day for tdf,0
you already know mane since th grade ive been killin hoes,0
rt the nigga who got slept is a faggot if he sues just run one again and watch ya backlol just like the pe,0
bestsongtohavesexto bitches love sosa bangbang,0
you cant be mad when people call you a hoe if you out here acting like one,0
burnt tho jus like a nicca,0
its true though lol rt if your girl think about you amp you dont make her pussy jump you aint shit brahlls,0
curiosity killed the cat bitches gunna die out here just to see my head game,0
jameis winston got benched for standing on a table and saying fuck her right in her pussy the irony is so deep you can use a shovel,0
this hoe straight up disappeared on me like where did you go,0
nigga you proud of i was in that bitch the is from me going to get the weed out the car,0
ur no from here u act sound infront ae me or ill be an awfy cunt nd break ur fukin phone tae,0
hoes aint wana fuck a nigga back then you but all the bitches wana fuck a nigga now,0
rt this cunt is still talking holy fuck can you just get breast cancer already,0
na nigguh i dont know how you rock,0
alabama won tho so roll tide bitch,0
ofcourse when someone asks what else to eat jackass over here goes brownies big surprise here dingbat,0
get your weak ass juco highlights off twitter hoe,0
rt fine then dont rt little nigs mtvhottest one direction,0
rt what kind of world do we live in where bitches are getting surgery to make their butts bigger since when do women want a,0
u cant stay the same amp expect change u cant truly expect a good man if he call himself nigga niggerit means the same a no good person,0
can i pay you to stop being a lil bitch gah damn shut the fuck up,0
im bout to beback on my old shit i miss my hoes texting me saying they wanna come see me,0
rt bruh he threw that bitch,0
dropped all my hoes for someone but was that a good decision find out on the next episode of dragonballz,0
only americans would hire white trash with ties to international terrorism as police officers,1
im starting to act hollywood round this bitch,0
good bitch,0
rt bitches fwu when they wanna ha na bitch not over here,0
i dont like it peaceful thats boring i like fighting i come from the ghetto do u remember that its p impossible for me not to,0
ahhh stupid bitch,0
maaaaannnn i hope so rt did we get rid of john legend looking charlie batch,0
oh man this could be a serious first ever chanel bag contender rt grapecolored chanel bags,0
rt im a pussy,0
hey okrah just wake up already you already know bammy and moochie are in it for the commies stop with the racist whitey hate crap,0
rt if you honk your horn seconds after the light turns green i will shut off my car lay on the hood and feed birds fo,0
this kid looks like a retard when he tries hiding his phone so obvious,1
fuck outta here faggot that wouldnt even be a fair,1
rt if her pussy got over body counts its dead pussies only have lives,0
dont no nigga want an artificial bitch let me repeat that not one,0
this weather is a bitch,0
when got your ex bitch amp the one you tryna move on w its time to call amp give it a up,0
rt if a nigga try to slide in my bitch dms,0
rt twitpic your reaction if you find out the love of your life selling pussysold pussy on backpage,0
bitches love some alex from target,0
i dont need no savin i need to get fucking high and get some pussy,0
chris a faggot,0
never would i put bacon grease on my face and let a werewolf eat my face to save a bitch nope nope nope,0
rt cant trust a bitch who lets the microwave hit she doesnt care about her lifeshe probably jumps on the lava part of,0
rt hiding your favorite snacks from your family bc youre a selfish bitch,0
i been kidnapped yo bitch,0
nahh whatever you are spook or spic i still dont like you good day,1
that nigga talkin like a hoe tell that bitch nigga speak up,0
i dont get why bitches blame the hoe their man cheated on them withit was both their faulttheir boyfriend couldve said no,0
this bitch is winning with popcorn masterchef,0
jihadis taunting america amp spreading paranoia tents that appeared in a video of a daesh training camp near mosul,0
bunch of pussies,0
no bitch lol,0
rt how do bitches peep everything but still getting cheated on something not adding up,0
bitch dont hate,0
he not gay no he just fuck with busted basic bitches lol,0
rt lonely twitter bitches be like relationshipgoals gtgtgtgtgt,0
rt let me sit this ass on you bitch you and chris better gtf,0
if you go could you hook up the plant city faggots or,1
rt fuckin skyler white is such a bitch,0
rt i hat that i paint my beard shit just eat some pussy and grow you one dawg quit tryin to shortcut it,0
niggaz been making trash lately well not everybody but some lol,0
you could be viewing the future through rosecolored glasses t more for libra,0
rt leotard not leopard zeeti hoes dumb twitpic a selfie wearing a leotard,0
my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,1
oh yea alo aka mr bitches lmao,0
my bitch pussy multipurpose it take this dick and hide my dope,0
unfortunately i love her the most tho rt thats ur hoe too,0
suzan are you really going to make me get off this sofa to find some damn silverware by golly you old bitch,0
whops yardie go smoke a blunt and tell a nigga to come through you are stressed,0
so real its unreal lol yankees worldseries andcounting mlb mlbtheshow,0
i hate a dont get shit done ass nigguh,0
rt i have no hoes,0
you do realize ya pussy stank right,0
rudy throws fastballs near charlies chinno sweat crist ducking giuliani campaign politics in florida dog,0
rt niggas got a girl why the fuck you asking girls to text youhoes man hoes,0
she kept whispering in my ear jasmin you are so damn finei said bitch jasmin is over there,0
amen little mama y does this old southern country bitch like you so much i dont know but i do,0
gotta missed call from yoooo bitch,0
stupid bitch,0
blessjesus yesfeltand touched the soles of the humanity with stains and impressions that only leaves its reflections,0
the clips hang down to the dick thats a automatic shotty from a drum they call tommy guarantee to get you bitches from by me,0
i say kmichelle is manly because she doesnt act like a ladyshes too foul at the mouth and violentill have to beat the bitch,0
im getting tired of you telling what the fuck im doing every time im doing something lol peckerwood guy,0
rt yall want foreign bitches sooo bad but cant even pull local hoes,0
the birds out tonight,0
a nigguh spitting dat crack to your bitch,0
rt we all know youre fucking a bitch right now lol,0
rt no need to compete with other women theres only one of me and shit im that bitch,0
rt the karma of fucking over a good girl is the bitch you end up with,0
yes i like dick and i hate bitches who am i now,0
rt youre jealous bitch,0
and since im gino marley my bitch just flew from japan,0
true nothing shuts up libdog bitches who like to bark at anything thats calledpreaching the truth,0
these bitches aint shit i forgot to mention,0
rt bitches be like im a virgin,0
damn rednecks outside shooting guns keep waking my kids up no sleep for us tonight thanks a work at am is going to be so great,0
i wanna eat the fuck u talking bout then bitch,0
rt thats fucked up when a bitch you fw down talk you then with hoes they claim they dont fw funny,0
rt if thats what makes these fat bitches sleep at night,0
rt obama a bitch,0
memorial weekend early bird wine walk price is still available we have participating locations,0
why you gotta hoe me like that,0
bitch ass,0
stop sayin my gov name fuck wrong widd u bitch is u stupid,0
u got my k bitch niggaal haymon to antonio tarver,0
rt when a bitch sneezes too close to you,0
rt these hoes selfish,0
i told that little bitch ass nigga do it look like im about to eat your gun charge ill slap you and your hoe ass lawyer,0
bald head bitches think its their time to prosper,1
when she wit me got yo bitch open,0
horny cougar gets two cocks shoved in herpussy,0
god i cant fucking stand waiters who bitch about people not tipping get a real fucking job,0
rt why all these hoes be wearin flowers around they head i hope a bee sting they ass,0
rt i feel bad for guys that give their girlfriends the world and the bitch still treats them like shit like damn what more do,0
shoot dice let yo hoe fade me,0
rt even at a young age these hoes aint loyal,0
gotta put it back in rotation rt aint heard u sayyou lil stupid ass bitch in a minute fam u slackin lol,0
if amber rose can rock a bald head and a bald pussy then motherfucker so can i,0
just cause you got a boyfriend now dont mean you still aint a hoe now youre just a hoe with a boyfriend,0
im driving myself insanefag,0
shittin on all my old hoes,0
sure i got a nice car a inch tv stainless steel appliances in my apartment and a few thousand twitter followers but i aint got no hoes,0
of course killed it me and my sis rocked that bitch hard sadity committee,0
see you fags in hours,0
that talentless skag is a wardrobe malfunction,0
i wish a bitch could,0
blac chynas ass shouldve threw him off first of all its wop sided and those cheek piercing trashy as hell,0
time hop makes me realize how much off a faggot i was lol,0
rt bitch nigga qualities is all you can provide,0
caleb needs to stop being a little bitch,0
why the fuck is this bitch calling me for,0
sonnen is a faggot,1
yankees primo just got home and the tanks are on mlb finally and they are winning even better time to get serious sept call up time,0
you a hoe for not having deals on fried chicken,0
my mom is a cunt,0
shy girls gtgt,0
rt my tweet wasnt really about you but if the shoe fits then lace that bitch up and wear it,0
bad bitches is the only thing that like,0
rt you want a hot body you want a bugatti you better be born into wealth bitch,0
i know that bitch dont going nomo,0
lol ooop qt you little twats,0
these kids are pussies we got a white trash kid amp a thugnasty wanna be up in here,0
rt sorry bitches it takes more than luck to beat me,0
i was hangin on them corners late pockets wasnt straight bitch i aint gon make it at this rate dawg know what im sayin,0
and stop being a bitch made nigga and man up and show up for that ass whooping,0
them hoes are clean,0
rt meth brownies,0
of course i was being bitch learned from my mom how to make a guy feel like hes foot tall,0
no you ignorant cement headed hillbilly you said taxing cant you fuckin read you fucking knob gobbling douchebag,1
bitch you still subtweets but not replying though,0
rt need some ice cream and oreos,0
follow me bitch lol u too good to follow back ha ha,0
ronny kamm is a pussy,0
him seh me pussy wetter then a shower curtainahmesehwetnessltlmao,0
one last shot at this love shit then im dogging you hoes drakelistener,0
rt mom brought me mcdonalds for lunch i had all the bitches on me,0
i got as amp a b on my progress report amp i still be touchin bands bitch get like me,0
rt i love a bad bitch with a attitude idk why but a cutie thats a savage is sexy as fuck,0
the favorite drink of white trash everywhere,1
sorry dyslexia is a bitch,0
rt rip tom foley rip greg sikorskey rip charlie anaya rip wells crowther rip andy fredericks,0
so is the term wigger if someone chooses to listen to hip hop and act a certain way its cause of his interests not race,0
i fuckin hate this bitches voice omg,0
he gets this bratty attitude from brittany and its for the birds,0
boutta walk out on these hoes,0
rt lmaooooooo rt what dum bitch made this,0
why do hoes think its a good idea to air out their dirty laundry at a public place bitch im tryna enjoy my burrito,0
rt and people say baseball is boring redskins,0
wish i coulda said more to tonight good seeing you fag,1
car anxiety is a bitch,0
gstar suspenders got a bad bitch bitch,0
all you muzzy lovers need to do one thing tell muzzies in the mideast to leave israel alone dont start no shit wont be no shit israel,1
either trolling or retarded,0
stop oppressing me have you heard of free speech stop shoving your lifestyle down my throat st amendment tcot teabaggers,1
i hate when cute ass girls have wack af boyfriends like bitch youre settlling quit your settling and be with a real nigga,0
u that nigga rt i have no idea how random jiggas be knowing my name at work smh,0
the nig is fun to watch got to admit ebola boy can speak broken spanish too lol,1
rt i wake up in the middle of the night and chug the orange juice straight from the bottle sorry mom,0
rt taking out the trash at night,0
rt hits blunt if cats are afraid of water why does pussy get wet,0
boy you gotta turn that nikki song all the way down on the volume kuz its trash but that the ass fat lawd,0
rt go die in a hole bitches,0
speaking of little bitch you didnt even do all your squats you little bitch kept talking to distract everyone else icu,0
this amish bitch was rockin gucci and her man was smokin a ecig smh fake ass amish ass bish,0
sexy lad with hot soles and arches,0
mace for your wife charlie brown rejectedpeanutsspecials,0
clam it,0
i think most rpgs are for the birds i aint no bird brain yo,0
rt hahahaha basic bitches so funny,0
rt ill naturally slap the shit outa oomf that bitch talk to much,0
draymond green a bitch ass nigga bruh,0
whipped out some french in front of some babes at the post office winning,0
rt i said thin mints bitch,0
is he chunky,0
weird ass bitches,0
bread in general aint too good for yabut honky bread the worst,0
baby i can make that pussy rain often,0
you need your ass whipped with a whip mr house nigger remember u will always b a nigger to them,0
fuck you bitches who send dudes to child support court just because youre petty,0
so excited for tomorrow amp saturday amp then just being a lazy bitch on sunday,0
i wan do a mixtape pussy an cinnamon rolls,0
lololol joey lattimes phone just called him retarded,0
actually im gonna have train her to be a fag dont you dare bring a boy into my house you slutyou scissor like a good girl,0
makem eat my ass since eating pussy aint major nomore,0
fat white bitch an a skinny po black niggayeah im in metairie fa sho,0
rt i cant stand this dumb fucking bitch,0
rt bullying doesnt existbitch ass people exist if you dont stand the fuck up for yourself amp stop being a pussy,0
that bitch on qualitest she dont act right wisewordsfromwebb,0
i uploaded a video update on uganda antigay bill freemasonry angloamerican influence and,0
i got the streets ina headlock i got yo bitch ina leg lock i do not fuck with the fed cops,0
the only one of marys friends i like so you other bitches dont exist,0
hoes thinkin turns them into born again virgins,0
bitch stop takin my shit ooo i hate u u dumb bitch,0
legion of jig,0
im pussy im not about this internet life,0
rt here is a michaelbrown supporter she says whites are just evil albino black babies seriously tcot,1
gov rick scott kicks charlie crists ass,0
dese bitches n my shot nigga,0
pop wop and drop it tho,0
yankees should have never gave away melky guy can flat out hit yankees giants,0
yeah wizards agent zero bitches,0
rt the awkward moment when youre changing in the gym and your penis head slips through the slit of your boxers,0
i dont care what they is they can catch them hoes,0
im weeaboo trash,0
gabby is back bitches step aside,0
my sister is such a bitch,0
i popped a molly every day last year beatthatbitch,0
rt if you only star tweets in hopes that you will magically get pussygood luck and keep it up,0
everything but im outside come get this bitch,0
rt are you justin beiber because your a fucken gay cunt,1
rt these bitches cant do nothin for you,0
all you bitches extra easy when yall drunk lol unless ur sober friends there to save youu,0
hate a bitch thats always in some mess,0
one day im like harry styles is so hot the next day is who tf is this faggot,1
reason for why he only rap about pussy what am i supposed to talk about smh how bout you make music that aint negative,0
i find it funny asf how people will try and tell you how you should live your life like bitch stay in my shadows thank you lol,0
inspiring a huge crowd of tourists to sit and watch the wild meadow rats over here by the trash cans cameras are out there is gasping,0
the people who work at those companies tend to be trash,0
rt any bitch who need a crowd to fight is clearly easily influenced amp weak minded amp most likely will commit suicide,1
happy birthday fag love ya,0
n then the hoe sooooo ugly like bitch you ugly dog like dumb stupid ass ugly like,0
oh you little bitch you you tryna hit the fair tho today or sometime this week shit might be fun drunk,0
i wonder if i have my very own nsa spook following me by now,0
virtually zero protections for lgbtq persons in alabama not a lot of acceptance either think about queer alabamian kids today,0
hes a lying faggot he used inspect element to change the number of dollars in his account,1
rt scientists recently discovered that bitches do in fact be trippin,0
ultimatepickupline bitch get naked works times out of if shes drunk,0
rt rt if you listen to these bands ax ptv sws atl bvb adtr bmth ymas fob aa blink tdg ss fir mcr follow me amp everyon,0
the bitch that took my phone,0
and yesthat was very ghetto and condescending especially after her miserably failed crappy school lunch initiative the hypocrite,0
rt gemma you sure are a dirty bitch jax your dad tried to warn you sonsofanarchy,0
fyi my favorite type of bitches,0
lol maybe i should give in nd date these hoes on dateslet me know how that work lol,0
bitches,0
shit where the gay bitches at come be witcha girl tonight,0
yanks wont make the playoffs but we aint in the al basement thats the red sox position,0
omg dot im sure thats not all you give away for free bitch,0
nice account faggot,0
bill cosby stealing pussy,0
gwyneth paltrow you ugly ass big bird looking bitch shut the fuck up ltltthats pretty much in your face bravo,0
this bitch sounds like shes gettin raped by othercats lmfaoo thefuckkkk closing the window whore cats,0
honky tonk badonka ankh,0
the way he raps about fucking my bitch amp banters about having more money than me is so entertaining its crazy,0
rt was deleting this pic until i realized a dike in the back ground dressed like a nigga with wedges on bitch im,1
apaches mm rounds turn jihadis into tomato soup,1
bad bitches and good weed,0
rt you need one yesss cause im not her bf you my bitch,0
your so fucking ignorant u talk a lot shit for someone who dont wanna fight your mama raised u as bitch huh,0
i havent been called ugly once my whole life tho rt guys who refer to women as bitches are so ugly to me lmao u disgust me,0
rt grow up bitch,0
wet bitches,0
im sorry but why should i care about what bitch my nigga was fucking w before me,0
my dad goes son of a bitch and just lights a cigarette in the kitchen oh,0
rt is dis wrong if you fuck wit a lame nigga you a lame bitch,1
lmaoooooooo rt you woke up a faggot didnt you rt my nigga aint get carded since i was a sophomore b,0
yeahcause if anyone thinks this clown went to to buy oreos is as stupid as all of them look,0
rt i hate when niggas be slobin all on the blunt like they eatin pussy amp have the nerve to try amp pass it im good nigga i,0
yall pussy ass niqqa need to make some moves ampamp get up there,0
rt if u looked good in highschool and wack now i know that pussy been thru some shit,0
its dumb cunts like you that make me sad to have served in a war so you wouldnt have to,0
youre a little bitch rt rt my team got blown out in the super bowl,1
lightskin mf lmfaooo ight white bitch lol,0
she got ass this bitch got hips this bitch got thighs this bitch here fine this bitch here bad she all the way live,0
gorgeous rt calico maine coon cat,0
niggas put on wigs and act like bitches for retweets that shit fu,0
she dont get emojis until after i bag emojis are pussy shit,0
rt and fell in love with pussy he never even got,0
no wealth doesnt insulate from being called nigger but still does improve empirical quality of life outcomes phenomenally,0
on my way to fuck your bitch lmfao kittycopter,0
rt diii bitches,0
rt i wonder if those fans in la feel like charlie brown after lucy pulls the ball away joeyvotto,0
when guys are more sentimental than most girls like man up pussy,0
rt these hoes aint loyal mane they rotate,0
scores dont matter in spring training man,0
bitches love beyonce,0
rt if ya friends always trynna get you to breakup wit ya nigga or do thot shit wit themthem bitches really aint ya friends,0
khan has been facing nothing but trash since his l to garcia,0
rt just texted my phone this bitch just blew my high,0
i cant take yo bitch if i cant see yo bitch,0
rt aint no money or no hoe in the world can spoil it mybrotherskeeper,0
so you was in a female dms talking to another nigga youre a faggot b,0
i love when people bitch about athletes being payed to much like theyd turn down millions what the fuck ever,0
phillip rivers look like he almost wants to call dude a nigger for that bad play,1
these brownies,0
my mentallity being a flaming fag is a serious mental issue,0
im camera shy dont talk on phones and love when it rainif youn kno the life you wouldnt understand,0
and who said i didnt like myself where the fuck u got shit from u made that up stfu and stop assuming and bitch am not ugly,0
honeybadger bitch,0
tx trash your show was a disgrace this am engaging w disrespecting the president,0
rt im a little teapot short and irish artist of the year amas emabiggestfansd,0
when it come to bitches niggas will get dirty,0
shut up bitch,0
rt any girl that talk about sex on social media is a hoe,0
calebs a dick and hannas a bitch i hate them both now,0
rt lmfao wtf niggas on here really retarded im tf out,0
me and da gonna do a reboot of da jeffersons only dis time he gonna be weezy and we married pre op trannies,0
rt good girl is worth bitches amp people still fail to realize that,0
ive been knowing fag,1
rt kansas bitch longhairdontcare countrygirl ohio yourewelcome lovethisgirl cle loveit,0
bitches love sosa so i guess ill wear sammy sosa,0
last words to a bitch nigga why you lie,0
in the words of lil debbie im that bitch,0
i hope you all accidentally get a fat black bitch pregnant,0
